stars,comment,date
1.0 out of 5 stars,"









  
  
    
  Family fun pack! They supposedly forgot to mention its as ant family. God dammit there was live 🐜 ants in it! Are you serious! I just throwed it

  
",Reviewed in India on 2 November 2018
1.0 out of 5 stars,"









  
  
    
  The product is expired or something is very wrong with these Maggie.... Got stomach problems after eating them... They smell different and the best part is we cannot even return them

  
",Reviewed in India on 16 January 2019
1.0 out of 5 stars,"









  
  
    
  This product was supplied in damaged condition.The package is damaged and full of ants inside.Also the app states this product do not qualify for return.

  
",Reviewed in India on 29 November 2017
1.0 out of 5 stars,"









  
  
    
  Can you use a product when it is tasted by mouse before? Even last month I received suji with same condition but nobody listening. We are promoting amazon prime to all our friends & we are receiving defective grocery. Need help

  
",Reviewed in India on 13 September 2019
5.0 out of 5 stars,"









  
  
    
  Maggi is called national food of India, lol. It's tasty and non sticky and can be prepared easily and quickly. So feeling hungry? It's maggi time now.Packaging and delivery was good and prompt. The noodles were recently made so it was a fresh product. Recommend to every age group as a quick snack.

  
",Reviewed in India on 9 June 2019
5.0 out of 5 stars,"









  
  
    
  Review of maggi:Who am I to review Maggi. It's iconic for anyone born in the 80s and 90s.Review of this pack:1) better than large packs that you have to store in the open2) Lasts longer than regular pack of eight, again because its closed.Disadvantage :More plastic usage than regular pack or tenConclusion:If you are going to consume Maggi over longer period of time but this one, if you will finish pack of ten within a week buy the regular large packs as it saves plastic pollution--

  
",Reviewed in India on 30 May 2019
1.0 out of 5 stars,"









  
  
    
  Seems damaged pack delivered with ants inside. Not one or two, thousands of them . Ants spread in whole kitchen now.

  
",Reviewed in India on 15 March 2018
5.0 out of 5 stars,"









  
  
    
  I just love the 2 minute noodle !Pros-1. Broken during delivery or not, doesnt really matter to me, since I prefer to break them into 2 pieces anyways before I cook them2. This family big pack really is cost effective.3. Nestle maggi has been around for so many decades from my childhood and they have been consistent and have even braved the recent questions raised on the quality of their product!4. Masala taste is ever so tasty5. Cooks really fast...ok not 2, let's say 5mins!Cons-1. Though maggi comes with atta noodles (healthier) than this maggi, the atta maggi is quiet expensive than this normal maggi. How I wish the oats and atta maggi would have been cheaper too

  
",Reviewed in India on 11 October 2018
3.0 out of 5 stars,"









  
  
    
  only complain i have is that most of the content found inside smashed and powdered, not like the ones you can get from local grocery shops. I have ordered this item many times and experience remains same

  
",Reviewed in India on 21 January 2018
5.0 out of 5 stars,"









  
  
    
  Its Maggi!!..what's not to like??Got it for Rs.109 during the Great Indian Festival.The package arrived in a good condition and was delivered within 24 hours.✌

  
",Reviewed in India on 30 September 2019
5.0 out of 5 stars,"









  
  
    
  This product comes in a bunch of small packets and thus is very useful as you can use when and whatever is needed and the rest doesn't spoil.

  
",Reviewed in India on 4 September 2019
1.0 out of 5 stars,"









  
  
    
  Totally disappointed with the way Amazon delivered the packet. It was totally loss for me as it was in the damaged condition. The total VIM liquid spread out into other material.

  
",Reviewed in India on 2 August 2017
1.0 out of 5 stars,"









  
  
    
   The packet was full of ant infestation. Had to throw everything.

  
",Reviewed in India on 27 May 2020
1.0 out of 5 stars,"









  
  
    
  When I recived the polythene pack first thing it was delivered in a too large pack, at least they should give a carton box comparable to the size of product, second when i opened the pack of noodles it was broken into pieces / fully crashed.Worst maggi i had ever had.Very pathetic

  
",Reviewed in India on 9 July 2019
5.0 out of 5 stars,"









  
  
    
  Good one.who don't love it!! Sometimes it breaks inside due to transportation. May be better to take it from shop only.

  
",Reviewed in India on 5 July 2020
4.0 out of 5 stars,"









  
  
    
  Its a really very great deal. Packaging was broken when i received. Always being a fan of maggi i will surely recommend to everyone. Thnx amazon.

  
",Reviewed in India on 8 March 2020
4.0 out of 5 stars,"









  
  
    
  Great Indian Festival. All normal price got up like 200% then getting discount 50% 👍superb selling technique...Old bought price 71 to 73INR

  
",Reviewed in India on 22 October 2019
3.0 out of 5 stars,"









  
  
    
  Still branding it 2-minutes noodles when it takes longer than that. Good old maggi tastes just about the same it did in my childhood.

  
",Reviewed in India on 6 August 2018
5.0 out of 5 stars,"









  
  
    
  Go for it.............. You will not regeret.Packaging this time was good from Amzon in the case of Maggi.....

  
",Reviewed in India on 8 July 2020
1.0 out of 5 stars,"









  
  
    
  The product arrived completely crushed. Instead of four packs of maggi there was just rubble. Very poor delivery

  
",Reviewed in India on 28 January 2019
4.0 out of 5 stars,"









  
  
    
  Perfect 8 Pieces in Maggi packet. Not crushed even earlier i ordered 2-3 times 12 piece packet but received crushed and this 8 piece packet totally perfect. Good taste

  
",Reviewed in India on 6 April 2018
3.0 out of 5 stars,"









  
  
    
  Package itself very big most of the noddles broken into small pieces.

  
",Reviewed in India on 2 December 2017
5.0 out of 5 stars,"









  
  
    
  Everone likes maggi.. no need to tell more about it.. but i must say the packaging done by Amazon Pantry is very good. Not a single maggi breaks... I like it.. i will order more things from Amazon pantry.. they thinks about customer and good value for mony. Provide discounts..

  
",Reviewed in India on 13 May 2020
4.0 out of 5 stars,"









  
  
    
  Good to see Maggi on Amazon PantryThis has become like a must have snack in our homeThis pack is very useful to make Maggi for the family at once.Price effective also.

  
",Reviewed in India on 19 July 2018
4.0 out of 5 stars,"









  
  
    
  Maggie no two words, but cloudtailyou need to focus on packing. othewise one has to eat ready made crushed Maggie for sure..

  
",Reviewed in India on 13 June 2018
5.0 out of 5 stars,"









  
  
    
  It's not too much or too little and don't have to worry about open packs. It's mild and I like it more than than the older salty and spicy flavor. One pack might not be enough for heavy eatters though.

  
",Reviewed in India on 29 July 2019
4.0 out of 5 stars,"









  
  
    
  As usual It's a famous brand. Taste is good not as previous.It's a budget pack. Got it in deal.

  
",Reviewed in India on 16 October 2019
1.0 out of 5 stars,"









  
  
    
  I have received this Maggi packet broken.... one block is almost missing as it is broken

  
",Reviewed in India on 8 September 2018
1.0 out of 5 stars,"









  
  
    
  Not satisfied...I received old or date expired packet..masala bohot smell de rha tha iska..sasta isiliye hai kuki purana hai..mai to yhi recommend krungi...ye sab shop se hi lo..bhale hi price thoda zada ho

  
",Reviewed in India on 23 August 2019
4.0 out of 5 stars,"









  
  
    
  Hi,Good product and Packaging. The normal price is Rs 120 to 125/-.Sometimes in sale, it is available for around Rs 109/-. If it is available at that price, you can go for it.

  
",Reviewed in India on 1 November 2019
4.0 out of 5 stars,"









  
  
    
  This family pack is good to purchase instead of buying individual packets. Try to add schezwan sauce and tomato ketchup along with a hint of dark Soy sauce and I bet you'll always thank me whenever you have this combined recipe for Maggi noodles.

  
",Reviewed in India on 15 October 2019
5.0 out of 5 stars,"









  
  
    
  I love U Maggi. This product contains 12 packs.Thank You All who help us stay home by delivering quality products on time even in this Crisis

  
",Reviewed in India on 4 June 2020
5.0 out of 5 stars,"









  
  
    
  Maggie has always been my first choice for part time hunger and sometimes it played a full time role too. Tastewise great and it's flavour is always been a mystery for me. A big fan since my childhood.

  
",Reviewed in India on 10 May 2019
5.0 out of 5 stars,"









  
  
    
  Love it since childhood. This original masala flavour is the best. Tastier when you eat it while travelling to any hill station. Tourists love having it. Price is also cheap.

  
",Reviewed in India on 17 July 2019
1.0 out of 5 stars,"









  
  
    
  I have order six pack of maggi but unfortunately i have received 5/6 in 6 pack maggi.And one more bad thing all maggi are crushed.

  
",Reviewed in India on 4 June 2019
5.0 out of 5 stars,"









  
  
    
  i ordered this with many things and the packing was so good that the Maggi was not crushed was really scared for that but when I found out it's not crushed it made me happy

  
",Reviewed in India on 18 July 2020
1.0 out of 5 stars,"









  
  
    
  I got an expired package of Maggi and I am not even allowed to return it. It expired in the month of May and I was delivered this on 10-June

  
",Reviewed in India on 12 June 2019
5.0 out of 5 stars,"









  
  
    
  I have used many grocery delivery application but the packaging from Amazon so far is the best everytime. There is no chances of products getting damaged. Quality of material used is very standard and efficient.Just add more no. of items in the list so the user don't need to look in other application.

  
",Reviewed in India on 29 June 2020
