stars,comment,date
4.0 out of 5 stars,"









  
  
    
  Love Since 5 years and here on Amazon much reasonable love 2 have and price almost less then 10 Rs per head good 2 & love 2 use.... Happy :)

  
",Reviewed in India on 3 October 2019
4.0 out of 5 stars,"









  
  
    
  Packaging is poor. Overall product is ok.

  
",Reviewed in India on 8 August 2020
5.0 out of 5 stars,"









  
  
    
  Iam a great lover of MAGGI and its really good to buy these small packs in a row. Whenever I feel hungry I used to have one cooked and its really very handy.

  
",Reviewed in India on 23 November 2019
5.0 out of 5 stars,"









  
  
    
  Super Maggy and it is Fresh item . Value for money. I love it. It's very tasty and yummy.  Wow it's amazing product. Thanks Amazon I love Amazon. Thank you very much..

  
",Reviewed in India on 24 July 2020
3.0 out of 5 stars,"









  
  
    
  I purchased this as we were in containment zone. The packet size is too small. Not your average Maggie available in stores.

  
",Reviewed in India on 9 July 2020
5.0 out of 5 stars,"









  
  
    
  Like in all respects

  
",Reviewed in India on 22 April 2020
5.0 out of 5 stars,"









  
  
    
  1st time bought food from Amazon.. was sceptical about the date manufacturing.. but u can trust amazonto deliver u the best possible stuffs.. manufacturing date -june 2020

  
",Reviewed in India on 11 July 2020
5.0 out of 5 stars,"









  
  
    
  2 minutes ruk sakte hain...sar ke Bal rah sakte hain....mummy mummy bhookh lagi......Great product and good quality by Amazon.

  
",Reviewed in India on 24 January 2019
4.0 out of 5 stars,"









  
  
    
  Packing is nice. Not for sale loose.

  
",Reviewed in India on 13 April 2020
5.0 out of 5 stars,"









  
  
    
  Everything's great. A great purchase in an affordable price. Mera Maggi - my favourite anytime meal. :)

  
",Reviewed in India on 31 October 2019
5.0 out of 5 stars,"









  
  
    
  The packaging was good and also the product arrived so soon... This contains the paneer flavour and the normal vegetable masala... Seriously this is a must buy product atleast I'm very pleased with this product...

  
",Reviewed in India on 29 July 2020
1.0 out of 5 stars,"









  
  
    
  Damage .. flavor , presentation and value for money

  
",Reviewed in India on 7 January 2020
1.0 out of 5 stars,"









  
  
    
  Never buy maggi from Amazon it seemed to be duplicate product the taste was very bad and had got insect's inside

  
",Reviewed in India on 2 October 2019
5.0 out of 5 stars,"









  
  
    
  Since the Maggi controversy the taste of Maggi has changed since then. But me as a kid loved Maggi then and I also love Maggi now, though the taste has changed a bit and Maggi should definitely change the pack a bit 😍😍

  
",Reviewed in India on 31 October 2019
3.0 out of 5 stars,"









  
  
    
  Maggie is maggie but the packaging was horrible and they broke all the packates into powder

  
",Reviewed in India on 13 June 2020
5.0 out of 5 stars,"









  
  
    
  What can you expect when local market is out of stock for Maggie and Amazon delivering it. The entire pack vanished in 1 week. and the stock is gone here too. Wishing to purchase again.

  
",Reviewed in India on 24 May 2020
1.0 out of 5 stars,"









  
  
    
  I would say the quality of the product was poor, All packets were crushed into dust by the time it delivered

  
",Reviewed in India on 19 June 2020
4.0 out of 5 stars,"









  
  
    
  It's original one, what more can I say about Maggie. 😄It's better if you're getting them in an offer. The least I can say about the deal. Baki Maggie to same hi hai.

  
",Reviewed in India on 17 October 2018
5.0 out of 5 stars,"









  
  
    
  Good product and good packaging... Only drawback is price not mentioned on each pack ... But its ok... And also this seller normaly take 100rs  extra delivery charges... But i order when its Amazon fulfilled and no extra charges. So its best deal... Grab it without delivery cahrges other wise local market recommended.

  
",Reviewed in India on 15 July 2019
2.0 out of 5 stars,"









  
  
    
  This pack manufacturing month is close to order month, but watch out for broken noodles quite often, the pack isnt open or bad but due to handling the noodles inside will be in pieces

  
",Reviewed in India on 5 July 2020
5.0 out of 5 stars,"









  
  
    
  What to write about Maggi. If the price is less the INR 130 Good, Great @ INR120 and Wow below INR 120

  
",Reviewed in India on 14 March 2020
4.0 out of 5 stars,"









  
  
    
  We Indian consumers are well aware of the taste, flavour and value for money of Maggi noodles.So will quickly jump to Amazon service.Yes, all the packets were delivered safely without damage/break to packets.

  
",Reviewed in India on 22 May 2020
2.0 out of 5 stars,"









  
  
    
  The packet was damaged with little holes and cuts . A few ants were seen inside packages too.

  
",Reviewed in India on 16 May 2020
5.0 out of 5 stars,"









  
  
    
  Very good discount on the pack

  
",Reviewed in India on 31 July 2018
3.0 out of 5 stars,"









  
  
    
  Please don't dispatch in Cover .At least u provide box.

  
",Reviewed in India on 8 July 2020
5.0 out of 5 stars,"









  
  
    
  Love this product..I love Maggie so so much..😍😘

  
",Reviewed in India on 27 January 2019
5.0 out of 5 stars,"









  
  
    
  overall, it's anice thing to purchase. the packaging was good and I got 12 packets of Maggi, at the price of 143. As this product is not available anywhere around my local market, I was elated when I got the package.Thank you Amazon

  
",Reviewed in India on 5 May 2020
3.0 out of 5 stars,"









  
  
    
  Since childhood im eating maggi i never forget how it taste i order 2 packs basically there is no taste in magi masala i was surprise more 6 i ate i feel there is no taste idk why

  
",Reviewed in India on 19 March 2020
5.0 out of 5 stars,"









  
  
    
  Costs Rs 100-110 varying each time I buy it.Sort of like buy 10, get 2 free.Only 1 concern - packing is not so good! 1 or 2 maggi packets get a bit crushed/crumbled.

  
",Reviewed in India on 6 October 2019
5.0 out of 5 stars,"









  
  
    
  Product was good but the package could have been better. It not even came up in bubble wrap which caused damage to a few packets.

  
",Reviewed in India on 5 June 2020
5.0 out of 5 stars,"









  
  
    
  The noodles that I get in local stores will be very salty. This noodles I feel very original in terms of flavour. Remember good olden days of 90s kids Maggi ? 15 years before etc. It's giving that original flavour when Maggi was launched in India . Worth the buy

  
",Reviewed in India on 27 April 2020
4.0 out of 5 stars,"









  
  
    
  You know what people This Maggi Just taste much better than the normal Maggi that we buy in stores or markets it's just taste good and the price is decent and the taste is also 👌 good recommend you'll to buy it

  
",Reviewed in India on 17 January 2019
1.0 out of 5 stars,"









  
  
    
  Each packet size is less than a Rs.10 maggi packet ,so obviously it contains less noodles in each packet,but it costs Rs.144 for 12 packets pack and make us fool by filling small packet.

  
",Reviewed in India on 17 March 2019
5.0 out of 5 stars,"









  
  
    
  There is no point discussing the taste because well , Maggi is Maggi .The was it is packaged is that the 12 individual packets are inside an outer transparent packet with Maggi branding , suggesting that it is packaged this way at the factory , so you only have the wash the outet packaging and not the indiviual packets when it arrives at your doorstep instead of the individual packet reducing the hastle during this pandemic .If you can get it at a off , it is an pretty decent deal .

  
",Reviewed in India on 13 August 2020
3.0 out of 5 stars,"









  
  
    
  I never even expected that I would receive Maggi this way. I've ordered before from Amazon pantry and they arrived perfectly. But this time almost all packets are crumbled. It feels like someone might've put this packet under some heavy thing. I'm so disappointed. I will not buy Maggi for Amazon again. It didn't even had a cartoon box.

  
",Reviewed in India on 4 July 2020
5.0 out of 5 stars,"









  
  
    
  Very good and value worthy combo pack . It comes in transparent Nestle wrapper where it helps all 12 packs together . As usual flavour is also very tasty and perfect for tiffin or snack. I expect to get more combo like this from Nestle  .

  
",Reviewed in India on 29 April 2020
1.0 out of 5 stars,"









  
  
    
  Maggi is losing its cham though, there taste is also not what it used to be and after eating it u will feel heaviness in ur stomach. I have switched to patantaji classic atta noodles now, my final good by to maggi.

  
",Reviewed in India on 19 November 2018
5.0 out of 5 stars,"









  
  
    
  My favourite maagi...this was very tasty and attractive.....and packing was nice very well but late delivered one day.... thank you and others things are rights.

  
",Reviewed in India on 3 March 2020
1.0 out of 5 stars,"









  
  
    
  I think the batch I received is defective, we have been eating maggi since childhood, but this maggi breaks as soon as I open the packet, the noodles are loose and not firm as they usually are, and they taste bad too. I just tried once, and I think I have to throw the other 11.the packet says that it is not expired, bt i think they send really old packets..

  
",Reviewed in India on 4 July 2020
5.0 out of 5 stars,"









  
  
    
  This product needs no introduction.  Simply the best noodles.  Amazon should give some discount on this atleast.

  
",Reviewed in India on 6 July 2020
5.0 out of 5 stars,"









  
  
    
  The product tastes good since it is brand of maggi.Packaging was very good.I always wanted different packets seperately since i don't want to open big pack and make only 1.The product is also very cheap with amazon.

  
",Reviewed in India on 13 April 2019
5.0 out of 5 stars,"









  
  
    
  Same as the market, same flavour.Value for money since you get it delivered at your home, from a distant location at the same price as market, will definitely recommend buying.

  
",Reviewed in India on 19 June 2020
1.0 out of 5 stars,"









  
  
    
  Damaged product

  
",Reviewed in India on 30 May 2020
4.0 out of 5 stars,"









  
  
    
  As good as always. Its Nestle's. Best in the market

  
",Reviewed in India on 24 May 2018
5.0 out of 5 stars,"









  
  
    
  I love Maggi always.it is good and ready in two minutes.tasty and yummy 😊😊😊😊

  
",Reviewed in India on 24 August 2018
5.0 out of 5 stars,"









  
  
    
  Best product always. Delicious and Fulfilling.  I prefer smallest packs because it's very easy to use when cooking single pack. Packing was great, all packs were intact no breakage. Fresh packs by manufacturing date. Recommended.

  
",Reviewed in India on 30 June 2018
5.0 out of 5 stars,"









  
  
    
  Maggi is one of the best snacks in present day . It is very easy to make and serve. It is also available in many price range. Its masala makes it much better in taste .i and my family take it regular .whenever I am alone in house only thing that I made is maggi. It has its own taste and also the best present in market .

  
",Reviewed in India on 13 September 2019
1.0 out of 5 stars,"









  
  
    
  Dislike because packet damage received only 5minut mane unke samne bola ki wapas kar lijiye to bole ki kal returned kar digiyega

  
",Reviewed in India on 28 January 2019
5.0 out of 5 stars,"









  
  
    
  Add Carrot and tomatoes (Boil them for 8 Minutes) before adding it to Maggi Mix.- this will decrease the intense spiciness and make it soothing.- Will give a creme texture to the noodles - tastes awesome.- Improve your skin quality (Glowing and White Skin).  Good to health  - Better in taste.

  
",Reviewed in India on 9 June 2019
5.0 out of 5 stars,"









  
  
    
  Yaaaaaaaaami......yaaam yaaam.... awesome🥰🥰🥰🥰

  
",Reviewed in India on 25 September 2019
2.0 out of 5 stars,"









  
  
    
  This particular Maggi Noodles variant does not taste or look good.Definitely not as good as Maggi Atta Noodles or Special Masala Maggi Noodles.I would avoid this , but would definitely opt for Maggi Atta Noodles any time.

  
",Reviewed in India on 26 December 2018
2.0 out of 5 stars,"









  
  
    
  To be honest this particular maggie 2 mins noodles looks suspicious & tastes weired. Why so?Suspicious: The 2 mins instant noodles is like no other maggie noodles i are before. After 10 mins of soaking in hot water is still not soft enough. It stays skinny stiff & not properly soaked.Weired: It tastes different. Not like normal maggie I've eaten before, which were bought from BB/Market. It doesn't taste bad but not good either. The typical maggie flavour is missing.Product has a manufacturing date of May, 2020 & 9 months to go till expiry.Looks totally original.Well packed 12 seperate packets of maggie instant noodles.To buy or not? Make a choice yourself.

  
",Reviewed in India on 22 June 2020
1.0 out of 5 stars,"









  
  
    
  Firstly,Packets are much smaller in size. They are not the same as ""Rs12 packet""which are available in market.They are approx half of that packing.And secondly, there is no price mention on the packets.These packets are very small, worth value Rs6 per packet.Please dont buy from this seller.

  
",Reviewed in India on 17 October 2019
5.0 out of 5 stars,"









  
  
    
  With 30 rs casback( for buy more and save more) AND free delivery (for prime) got theses in cheap price than market  and manufactured in june which means they are newly manufactured . THANK U SO MUCH AMAZON .

  
",Reviewed in India on 15 July 2020
5.0 out of 5 stars,"









  
  
    
  I believe everyone at least knows about Maggi, so to help everyone it's definitely a original product and awesome delivery by amazon.

  
",Reviewed in India on 18 July 2020
2.0 out of 5 stars,"









  
  
    
  The outer packet had a mention of 12 packets of 70 gms each while opening the packet, only 9 packets of 70 gms were found inside.Now you don't have a return policy as well and how should I raise my claim ???

  
",Reviewed in India on 9 April 2020
4.0 out of 5 stars,"









  
  
    
  There are 12 packets in the received pack. Checked 12 packets and everything is good, very satisfied.OfCourse the taste of maggi is always good than any other brand noodles.

  
",Reviewed in India on 2 August 2020
4.0 out of 5 stars,"









  
  
    
  The packaging of the Magi it was very nice excellent and the price was also reasonable as it is there in market you guys can purchase this

  
",Reviewed in India on 1 June 2020
5.0 out of 5 stars,"









  
  
    
  I love maggi - my go-to food when I don’t feel like making an elaborate meal. Love these individual packets - they keep the maggi crispy.

  
",Reviewed in India on 3 May 2019
5.0 out of 5 stars,"









  
  
    
  Its a really very great deal. Packaging was also good. Packets were intact no breakage. Got it in good condition. Always being a fan of maggi i will surely recommend to everyone. Thnx amazon

  
",Reviewed in India on 23 October 2019
5.0 out of 5 stars,"









  
  
    
  Packaging was good , well I don't think  anything else in review is needed original product with acceptable price .

  
",Reviewed in India on 29 July 2020
4.0 out of 5 stars,"









  
  
    
  Yummy.During Lockdown and post unlockdown,no availabilityin my city.ThanksAmazon for bringing taste back to my life.

  
",Reviewed in India on 19 June 2020
5.0 out of 5 stars,"









  
  
    
  The product tastes good since it is brand of maggi.Packaging was very good.I always wanted different packets seperately since i don't want to open big pack and make only 1.The product is also very cheap with amazon

  
",Reviewed in India on 13 August 2020
1.0 out of 5 stars,"









  
  
    
  Plz don't buy this product from online I got old product and masala packet was opened and it was totally masal was  dry and Maggie was totally smashed  plz don't buy

  
",Reviewed in India on 5 June 2020
1.0 out of 5 stars,"









  
  
    
  The content inside had pungent smell after cooking, had to throw all of them

  
",Reviewed in India on 11 June 2020
4.0 out of 5 stars,"









  
  
    
  Value for money. Its a really very great deal. Packaging was also good. Packets were intact no breakage. Got it in good condition. Always being a fan of maggi i will surely recommend to everyone.

  
",Reviewed in India on 6 December 2019
2.0 out of 5 stars,"









  
  
    
  It's very packets while compare to ₹10 packets outside . Here they packed 12 packets which is very small quantity. So waste of buying this.. outside market is good.. same price

  
",Reviewed in India on 13 August 2020
2.0 out of 5 stars,"









  
  
    
  Maggie was all broken in packets.Taste is as if it’s old stock n removed to sale in lock downWill never recommend it to any one

  
",Reviewed in India on 12 June 2020
5.0 out of 5 stars,"









  
  
    
  Packing is good but it is coming from haryana to bihar... So got defective. I complain yo customer care.. I got refunded...I think this type of item send in box.. So customers can't get defective in way....

  
",Reviewed in India on 12 July 2020
